word,Class_degree_centralitylow,Class_degree_centralitymedium,Class_degree_centralityhigh,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_closeness_centralitylow,Class_closeness_centralitymedium,Class_closeness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
transformation,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
research,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
n,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
figure,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
ln,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1
com,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
fig,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
representation,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
argand,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
well,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
propose,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
asymptote,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
section,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
consider,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
average,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
search,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
consideration,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1
bigoh,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1
instance,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
accord,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
putational,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
could,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
demonstrate,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
combine,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1
make,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
graphical,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
handle,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
unable,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
mathematical,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
burhmans,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1
ex,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1
suppose,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1
analysis,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
difficulty,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1
portion,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
function,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
qualify,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1
touch,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
algorithm,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
quantum,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
al,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
component,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
worstcase,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
exist,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
like,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
type,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
eqn,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
rather,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
bigomega,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1
axis,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1
general,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
value,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
bigtheta,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
dx,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1
capable,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
methodology,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
ordinate,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
asymptomatic,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
complexitythe,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
compute,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
example,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
define,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
explainable,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
et,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
cardinality,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
dont,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
conclusion,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
one,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
entity,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
stand,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
order,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
mathe,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1
find,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
implication,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
practical,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
abifigure,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
tion,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
theory,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
say,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
worst,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1
address,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1
imag,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
asymptotically,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
specifically,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
alliance,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1
calculate,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
act,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
vision,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
form,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
project,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
distinction,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
func,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
refn,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
summarize,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
modernday,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
minimum,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
euler,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
input,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
categorize,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
grover,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
notationsthe,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1
current,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
oh,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1
additional,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
pictorial,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
theoretically,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
spit,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
draw,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
true,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
another,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
aim,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
many,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
ax,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1
plexities,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
previously,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
contrast,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
care,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
implicate,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
theta,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
best,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
spatial,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1
bito,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
angle,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
weak,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
logz,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
help,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1
express,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
prevalent,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
none,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
existence,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
horizontal,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
subtends,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1
xaxis,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
constitute,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
mathematics,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
new,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
devoid,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
create,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1
term,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
zgn,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
novel,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
defy,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1
science,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
dutta,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
resource,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
exponential,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
basic,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
onedegree,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
keywords,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
onotation,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
per,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
thnotation,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
also,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
need,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
few,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
often,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
know,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
formally,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
ii,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1
two,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1
infinity,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
trivial,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
r,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
possible,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
projection,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
preexist,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
smallomega,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
catch,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
interpret,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
geometrically,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
dataset,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1
matical,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
planethe,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1
smalloh,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
able,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
employed,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
coordinate,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
vuuut,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1
tothe,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
stirlings,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
important,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
scope,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1
abscissae,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
neighbourhood,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
magnitude,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
abstract,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1
intermediate,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
phis,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
iota,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
system,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
averagecase,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
negative,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
modulus,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1
special,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
give,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
rfn,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
respectively,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
therefore,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
multiplied,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
three,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
inary,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1
method,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
employ,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
fx,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
nx,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
place,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
wolf,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0
comparative,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
product,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
difficult,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
refrain,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
upon,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
assessment,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
bestcase,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
mogo,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
sort,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
within,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
refer,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
aandbare,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
effort,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
ted,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
since,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
tends,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
smooth,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
feature,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
introduction,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
omega,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0
follow,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
computability,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
come,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
sinph,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
unless,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
stipulate,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
others,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
ramanujans,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
completely,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
logk,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
base,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
metric,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
add,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
situation,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
way,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
loglogzdz,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
remodified,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
ie,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0
manage,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0
kp,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0
problem,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
transform,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0
across,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
along,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
multiply,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
anurag,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
loglogzdzn,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
prominent,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
psx,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
thus,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
dxp,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
deal,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
b,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
discrete,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0
low,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
integral,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
bring,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
logn,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
ri,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
iwhose,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
ip,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0
curve,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
parameter,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
eitanimfn,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
bidimensional,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
get,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
coincide,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
state,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
easily,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
see,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0
polar,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
correspondingly,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
analyze,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
fn,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
logzdz,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0
yaxis,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
soretn,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
gauss,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
work,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
incentivised,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
issue,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
origin,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
paper,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
inexpensive,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
lnandimtn,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
character,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
optimum,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
omicron,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
size,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
acm,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
plicate,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
climb,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
go,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
include,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
commonly,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
florea,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
increase,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
logzdzpierf,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
focus,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
iximfn,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
tanp,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
available,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
bound,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
interface,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
describes,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
require,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
dedicate,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
necessary,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
let,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
subtend,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
sec,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
cosph,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
imfn,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
mitigate,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
execu,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
logzdzn,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
assist,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
coincides,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
nlogn,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
potential,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
solution,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
clature,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
world,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
intricacy,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
specific,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
inequality,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
tan,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0
improvisation,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
solve,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
instantiate,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
ixsinphxgn,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
q,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0
loglogkn,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
alternate,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
name,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
computer,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
schlep,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
ni,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0
hard,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
rgnb,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
minimal,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
always,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
loglogk,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
algorithmists,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
vertical,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
application,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
nlognin,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
growth,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
hypothesis,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
de,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
lconstant,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
nfor,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
pose,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
computation,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
break,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
constraint,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
k,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
list,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
anuragduttaresearchgmailcom,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
knuth,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
tntn,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
ah,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
proceeding,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
distance,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
zfn,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
amount,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
great,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
necessitate,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
zero,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
effective,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
